trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
196047,1063,2014-02-25 18:29:00 UTC,Japantown,9,2014-02-25 18:46:00 UTC,Japantown,9,645,95112,Subscriber
1099748,4128,2016-02-20 17:19:00 UTC,Japantown,9,2016-02-20 18:28:00 UTC,Japantown,9,57,95112,Customer
542795,917,2014-11-13 09:16:00 UTC,Japantown,9,2014-11-13 09:31:00 UTC,Japantown,9,668,95122,Subscriber
249715,1702,2014-04-15 20:17:00 UTC,Japantown,9,2014-04-15 20:45:00 UTC,Japantown,9,49,60305,Customer
1023243,783,2015-11-29 16:00:00 UTC,Japantown,9,2015-11-29 16:13:00 UTC,Japantown,9,676,95112,Subscriber
218401,11758,2014-03-18 14:56:00 UTC,Japantown,9,2014-03-18 18:12:00 UTC,Japantown,9,210,nil,Customer
322358,275,2014-06-12 19:13:00 UTC,Japantown,9,2014-06-12 19:17:00 UTC,Japantown,9,299,95112,Subscriber
871985,9699,2015-08-01 19:59:00 UTC,Japantown,9,2015-08-01 22:41:00 UTC,Japantown,9,488,95054,Customer
940826,1491,2015-09-22 10:35:00 UTC,Japantown,9,2015-09-22 11:00:00 UTC,Japantown,9,54,95112,Customer
212536,872,2014-03-13 12:13:00 UTC,Japantown,9,2014-03-13 12:28:00 UTC,Japantown,9,672,95031,Customer
546711,347,2014-11-17 07:23:00 UTC,Japantown,9,2014-11-17 07:29:00 UTC,Japantown,9,691,95112,Subscriber
740710,46126,2015-04-25 11:14:00 UTC,Japantown,9,2015-04-26 00:02:00 UTC,Japantown,9,90,95112,Customer
270587,1333,2014-05-03 14:59:00 UTC,Japantown,9,2014-05-03 15:21:00 UTC,Japantown,9,30,nil,Customer
267440,357,2014-05-01 07:17:00 UTC,Japantown,9,2014-05-01 07:23:00 UTC,Japantown,9,50,95112,Subscriber
363634,1334,2014-07-14 23:40:00 UTC,Japantown,9,2014-07-15 00:02:00 UTC,Japantown,9,112,95131,Customer
