tree_id,site_order,permit_notes,site_info,plant_type,plant_date
48292,102,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
35183,1,Permit Number 38712,Sidewalk: Curb side : Cutout,Tree,1998-02-10 00:00:00 UTC
48053,229,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
35278,5,Permit Number 38758,Sidewalk: Curb side : Cutout,Tree,1998-02-17 00:00:00 UTC
34122,1,Permit Number 37981,Sidewalk: Curb side : Cutout,Tree,1997-07-05 00:00:00 UTC
34330,8,Permit Number 38095,Sidewalk: Curb side : Cutout,Tree,1997-07-14 00:00:00 UTC
48156,266,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48313,179,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
45881,7,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48188,69,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48293,103,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
45963,160,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
48322,188,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
48308,174,Permit Number 45761,Sidewalk: Curb side : Cutout,Tree,2002-07-17 00:00:00 UTC
45976,131,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
35189,15,Permit Number 38712,Sidewalk: Curb side : Cutout,Tree,1998-02-10 00:00:00 UTC
46047,170,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
45940,69,Permit Number 44451,Sidewalk: Curb side : Cutout,Tree,2001-12-06 00:00:00 UTC
44603,121,Permit Number 43835,Sidewalk: Curb side : Cutout,Tree,2001-04-29 00:00:00 UTC
